Galaxy,fDM_outer_mean,fDM_last,bulge_frac_outer,npts,logL,logM,e_M,gW1,ML,Reff,Rdisk,SBeff,Q,fDM_2Reff,fDM_2p2Rdisk
UGC07151,0.46083222887895287,0.4679088047064983,0.0,11,9.352,9.117,0.016,3.04,0.58,2.17,1.25,76.71,1,0.46056748602427683,0.39923140260896595
UGC07261,0.6292210091504906,0.6341122494262856,0.0,7,9.327,9.063,0.02,2.74,0.54,2.66,1.2,39.16,2,0.6045149400840375,0.3905176638100786
UGC07323,0.34325443515218595,0.38176979157568347,0.0,10,9.69,9.424,0.014,2.83,0.54,3.26,2.26,61.49,1,,0.3252331882239496
UGC07399,0.8464438269432822,0.8560960306158776,0.0,10,8.991,8.726,0.035,2.85,0.54,1.27,1.64,113.98,1,0.7930172897282544,0.8141872008992499
UGC07603,0.8050023108195644,0.8216577880859375,0.0,12,8.526,8.262,0.03,2.88,0.54,0.85,0.53,81.81,1,0.6229584713786519,0.47812556572686854
UGC07690,0.5059297374905272,0.5288488900125128,0.0,7,8.901,8.637,0.04,2.64,0.54,0.86,0.57,184.01,2,0.3705795976133806,0.30456645316464886
UGC07866,0.5428189970897408,0.5683152764213544,0.0,7,7.974,7.713,0.049,2.18,0.55,0.95,0.61,21.92,2,0.5049147166401218,0.43270355316622594
UGC08286,0.7863530159380738,0.7967148901919231,0.0,17,9.062,8.99,0.014,3.55,0.85,2.25,1.05,39.52,1,0.699450989069966,0.6985748923984448
UGC08490,0.8308670896863045,0.8426954910192369,0.0,30,9.01,8.745,0.021,2.67,0.54,1.14,0.67,124.98,1,0.6189718516596291,0.5276912545121538
UGC08550,0.7896335436138555,0.7797545557655955,0.0,11,8.47,8.382,0.018,3.46,0.81,1.01,0.45,45.38,1,0.624361957200336,0.5958532837250097
UGC08699,0.6568708759755691,0.6979588222998596,0.2420205441799291,41,10.666,10.711,0.007,3.99,1.11,1.91,3.09,2191.95,2,-0.10989003473620786,0.1775705619490483
UGC08837,0.48134418578102967,0.4822662326388889,0.0,8,8.643,8.527,0.04,3.36,0.77,2.25,1.72,15.73,2,,0.48079095766631413
UGC09037,0.3009678133390304,0.35081888417590024,0.0,22,10.734,10.595,0.019,3.29,0.73,5.69,4.28,334.83,2,-0.2758557290068427,-0.4534525152167514
UGC09133,0.6774126558111068,0.732817196468412,0.23074205733604458,68,11.428,11.47,0.011,3.96,1.1,5.92,6.97,1284.78,1,-0.034437647214576796,0.06431837985515065
UGC09992,0.297112524373936,0.32493688854133895,0.0,5,8.384,8.138,0.058,3.0,0.57,1.62,1.04,20.18,2,0.2779606892976716,0.3239435354063415
UGC10310,0.5655506951013669,0.5872688606706681,0.0,7,9.259,8.995,0.036,2.59,0.54,3.12,1.8,28.37,1,0.5472921719453682,0.6094276891942867
UGC11455,0.2829290432984183,0.36927258465713164,0.0,36,11.512,11.266,0.005,3.0,0.57,10.06,5.93,571.26,1,-0.11158672163337473,-0.3445852495413747
UGC11820,0.7696594992091002,0.7839652317909813,0.0,10,8.785,8.566,0.102,3.09,0.6,2.74,2.08,20.18,1,0.7167198982760461,0.7127775270822484
UGC11914,0.21846520423632043,0.28565116259070145,0.24700697316211834,65,11.27,10.975,0.008,4.2,0.51,3.12,2.44,2425.66,1,-0.1042208889832284,-0.13548857094050124
UGC12732,0.7509075493970329,0.7498924510620575,0.0,16,9.37,9.114,0.054,2.96,0.55,3.12,1.98,26.84,1,0.7363985157951184,0.7110720617593844
UGCA442,0.8641912572951029,0.8767806719398543,0.0,8,8.08,7.828,0.06,0.84,0.56,1.71,1.18,7.6,1,0.7486613700158491,0.6927553590627088
