Galaxy,fDM_outer_mean,fDM_last,bulge_frac_outer,npts,logL,logM,e_M,gW1,ML,Reff,Rdisk,SBeff,Q,fDM_2Reff,fDM_2p2Rdisk,Rmax,Rhalf_split,fDM_inner_half_mean,fDM_outer_half_mean,n_inner_half,n_outer_half,fDM_outer_minus_inner_half,fDM_inner_Reff_mean,fDM_outer_Reff_mean,n_inner_Reff,n_outer_Reff,fDM_outer_minus_inner_Reff
NGC4051,-0.3638630845248486,-0.2868193002691273,0.0,7,11.145,11.057,0.006,3.46,0.82,6.87,4.65,319.76,2,,-0.4502618515367758,12.19,6.095,-0.5168238348773956,-0.38306155289335875,3,4,0.13376228198403683,-0.5168238348773956,-0.38306155289335875,3.0,4.0,0.13376228198403683
NGC4085,-0.1916740472447738,-0.0808015570934257,0.0,7,10.284,10.331,0.004,4.08,1.11,2.0,1.65,856.7,2,-0.4252585948851555,-0.3974696854593668,6.2,3.1,-0.8783099489795919,-0.3090296097695415,3,4,0.5692803392100504,-1.0,-0.3742096572033883,2.0,5.0,0.6257903427966117
NGC4088,-0.0181801626155047,0.1491609855991544,0.0,12,10.967,11.008,0.002,3.95,1.1,6.1,2.58,457.96,1,-0.6790137108395777,-1.0,21.48,10.74,-0.8884467995336808,-0.2502180737265307,6,6,0.6382287258071501,-0.9189964118367936,-0.4527777782278764,3.0,9.0,0.4662186336089172
NGC4100,0.4401946140512822,0.4839869862742771,0.0,24,10.73,10.775,0.003,3.99,1.11,4.93,2.15,388.0,1,0.1314287578324552,0.114186962109837,22.76,11.38,0.0486823689175407,0.38922719146947377,11,13,0.3405448225519331,0.07468471642526416,0.25578120942477683,3.0,21.0,0.1810964929995127
NGC4138,0.4581462295136285,0.5094843466666665,0.1778921246902304,7,10.62,10.642,0.004,3.85,1.05,1.91,1.51,1909.11,2,-0.3647344272955911,-0.4848597958015145,18.58,9.29,-0.16989750060832853,0.35747999043074663,3,4,0.5273774910390752,,,,,
NGC4157,0.3971104374434541,0.4825523067932797,0.0162367332927044,17,10.974,10.933,0.002,5.08,0.91,4.44,2.32,848.85,1,-0.595960703638824,-0.6213062976744592,29.61,14.805,-0.5862186044307993,0.2609559138192177,8,9,0.847174518250017,-1.0,-0.02274304073822905,2.0,15.0,0.9772569592617709
NGC4214,0.8099402997486695,0.8295015516381481,0.0,14,9.144,8.883,0.005,2.29,0.55,0.7,0.51,363.77,2,0.2776613724161572,0.2176556727628562,5.63,2.815,0.4402398459462581,0.7757287914293686,7,7,0.3354889454831105,0.4603395284553479,0.6325917837265576,2.0,12.0,0.17225225527120963
NGC4389,-0.8326602479338843,-0.6653204958677685,0.0,6,10.313,10.208,0.009,3.39,0.78,4.05,2.79,207.41,3,,,5.32,2.66,-1.0,-0.9163301239669421,2,4,0.08366987603305787,-1.0,-0.8326602479338843,4.0,2.0,0.16733975206611573
NGC5005,-0.1912606779680432,-0.0735041723033107,0.1055810931581741,18,11.245,11.286,0.002,3.95,1.1,3.97,9.45,1789.91,1,-0.3260793312891721,,11.47,5.735,-0.6392338975067632,-0.2880869779414335,10,8,0.3511469195653297,-0.6703490449725111,-0.3334242438819011,8.0,10.0,0.33692480109061
NGC5033,0.6088414033442683,0.6648791935651812,0.187504583812947,22,11.01,11.057,0.006,4.06,1.11,2.94,5.16,2036.24,1,-0.3143484426238356,0.1567567912838087,44.59,22.295,-0.12034431086058044,0.5711291734240556,12,10,0.691473484284636,-1.0,0.3133580001956796,2.0,20.0,1.3133580001956795
