row_index,CID,IDSURVEY,RA,DEC,zHD,zCMB,environment_method,catalog_source,environment_label,void_label,filament_label,nearest_void_id,nearest_void_sample,nearest_void_distance_mpc_h,nearest_void_radius_mpc_h,void_distance_over_radius,nearest_filament_id,nearest_filament_point_id,nearest_filament_distance_mpc_h,coverage_flag,notes
372,2008bf,5,181.012,20.2452,0.02462,0.02451,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,void,void,field_or_wall,19494,dim1,8.395447758134521,8.55,0.9819237144016983,7648,192236,35.289878861419815,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
373,2008bf,64,181.012,20.2452,0.02462,0.02451,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,void,void,field_or_wall,19494,dim1,8.395447758134521,8.55,0.9819237144016983,7648,192236,35.289878861419815,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
374,1994M,61,187.786,0.6054,0.02464,0.02426,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,void,void,field_or_wall,601,dim1,3.0709557791467876,3.48,0.8824585572260885,9580,217330,39.77961004647133,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
375,2004br,57,187.783,0.6132,0.02464,0.02426,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,void,void,field_or_wall,601,dim1,3.0732067931546676,3.48,0.8831054003318011,9580,217330,39.78051507017082,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
376,ASASSN-16hz,150,348.94,-1.3396,0.02466,0.02406,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,14207,dim1,83.37377665149764,4.24,19.663626568749443,1122,46573,46.134343423846765,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
377,2003he,57,359.738,-2.2481,0.02491,0.02404,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,39938,bright1,340.03184181892647,19.25,17.663991782801375,1122,46570,37.78847282682416,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
378,2001cj,57,200.437,31.2468,0.02494,0.02491,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,14891,dim1,19.8571690113911,3.8,5.225570792471342,2779,98188,57.28458442395577,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
379,Gaia16agf,150,98.5373,-25.1846,0.02509,0.02553,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,12634,dim1,61.64209318762592,3.68,16.750568800985302,8560,204490,2.7789620220440283,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
380,2007cq,56,333.668,5.0803,0.0251,0.02481,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,14207,dim1,82.56689418460459,4.24,19.47332410014259,8508,203886,60.32091399274709,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
381,2007cq,64,333.668,5.0803,0.0251,0.02481,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,14207,dim1,82.56689418460459,4.24,19.47332410014259,8508,203886,60.32091399274709,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
