galaxy,fdm_outer_mean,age_literature,age_combined_proxy,age_best,age_source,SB0_disk_Lpc2,Vmax_kms,Rmax_kpc
UGC07399,0.8945159930071727,,5.020067983255888,5.020067983255888,proxy,131.44,106.0,6.13
ESO116-G012,0.8069498517898412,,5.024350269602127,5.024350269602127,proxy,276.94,112.0,9.86
UGC06786,0.8573095916129535,,5.058228980045435,5.058228980045435,proxy,516.57,229.0,34.05
IC4202,0.6114828518918769,,5.0608666386499745,5.0608666386499745,proxy,335.17,250.0,25.9
UGC03580,0.8307225763466688,,5.095381780360878,5.095381780360878,proxy,655.22,131.0,27.06
NGC7793,0.6193841575017617,5.1,3.5668259290738793,5.1,literature,1208.98,116.0,7.87
UGC06923,0.6463187486446904,,5.117108239240714,5.117108239240714,proxy,139.38,81.1,5.16
NGC4559,0.6602389974904496,,5.140662940187019,5.140662940187019,proxy,523.98,124.0,20.97
NGC4100,0.704080214485244,,5.144077340928272,5.144077340928272,proxy,351.27,195.0,22.76
NGC5985,0.7548817560822849,,5.146976003106711,5.146976003106711,proxy,339.07,305.0,34.72
UGC07151,0.6663653252566558,,5.153977461597091,5.153977461597091,proxy,167.58,76.2,5.5
NGC6674,0.8366027033503228,,5.175308439810915,5.175308439810915,proxy,669.71,291.0,72.41
NGC2915,0.9274218223156916,,5.186366508524492,5.186366508524492,proxy,329.95,86.5,10.04
UGC05986,0.8361766519896662,,5.207266375846924,5.207266375846924,proxy,190.91,116.0,9.41
UGC07323,0.6188189872642765,,5.23126972914958,5.23126972914958,proxy,135.84,85.6,5.82
UGC11557,0.2771978017485789,,5.25092751447124,5.25092751447124,proxy,329.26,85.0,10.56
UGC07603,0.8666773203318101,,5.3328954272115965,5.3328954272115965,proxy,106.8,64.0,4.11
UGC09037,0.5579772990148436,,5.363437851670487,5.363437851670487,proxy,402.36,160.0,27.96
UGC04325,0.772919663089176,,5.392837336018917,5.392837336018917,proxy,87.42,92.7,5.59
UGC12506,0.7476195310956687,,5.41533677313587,5.41533677313587,proxy,413.25,255.0,49.99
UGC08490,0.8782559280235732,,5.487840800813862,5.487840800813862,proxy,246.74,80.1,10.15
NGC4217,0.467972287019267,,5.487867926688015,5.487867926688015,proxy,149.17,191.0,16.72
NGC3726,0.7480737799016538,,5.492417099772476,5.492417099772476,proxy,367.95,169.0,32.52
NGC5585,0.7880086937922663,5.5,4.6822972901651765,5.5,literature,658.83,92.3,10.96
NGC2403,0.8533305187672428,5.5,4.503660283652751,5.5,literature,1105.79,136.0,20.87
NGC3917,0.7187153251922623,,5.537481828159573,5.537481828159573,proxy,188.65,138.0,14.86
NGC5907,0.7365214030439917,,5.5403337265528005,5.5403337265528005,proxy,374.65,235.0,50.33
NGC4013,0.7717767508474259,,5.622706508169496,5.622706508169496,proxy,258.72,198.0,31.01
UGC04483,0.6960920081327954,,5.660204749637468,5.660204749637468,proxy,41.7,24.3,1.21
UGC02487,0.8362570399847237,,5.707702162357672,5.707702162357672,proxy,296.2,383.0,80.38
NGC3769,0.8368449025734721,,5.7146840939217896,5.7146840939217896,proxy,363.15,126.0,37.16
UGC04278,0.7545332190849089,,5.7205088342814765,5.7205088342814765,proxy,79.35,92.8,6.69
NGC0100,0.8440419446815861,,5.728862248311014,5.728862248311014,proxy,142.64,91.2,9.62
UGC05414,0.6709259827773741,,5.791350391802324,5.791350391802324,proxy,63.16,61.4,4.11
NGC0300,0.8677796201065506,5.8,6.2133927660645725,5.8,literature,90.5,97.0,11.8
NGC4068,0.5716013221872803,,5.80230579534875,5.80230579534875,proxy,43.41,41.9,2.33
UGC07261,0.7538063267650162,,5.815729150334162,5.815729150334162,proxy,97.09,76.1,6.67
UGC02023,0.5776783772113209,,5.820199926640878,5.820199926640878,proxy,56.36,58.8,3.78
F579-V1,0.7499642813173284,,5.826580234967309,5.826580234967309,proxy,166.94,114.0,15.16
NGC3992,0.7377076779267862,,5.828082576599112,5.828082576599112,proxy,212.17,272.0,46.02
UGC02916,0.5374420154977152,,5.844935392368621,5.844935392368621,proxy,213.07,218.0,38.0
F568-1,0.8402861274537892,,5.878799264289925,5.878799264289925,proxy,98.11,142.0,13.23
UGC06917,0.7503347382945571,,6.010294229344321,6.010294229344321,proxy,84.05,111.0,10.47
